k0,S,lnk0
32.772449112148,18.271649211518,3.48958819632786
290.365541325265,22.7044327758327,5.6711406165618
3425.38685155923,28.2513233898295,8.13896969367839
4028.17823308404,28.2078578745887,8.30106950139081
4028.37495653304,28.2060763856847,8.30111833702669
1706.08996536537,23.9446392706342,7.44195946134196
1006.29203272594,20.7129558748353,6.91402759951347
157798.957100488,30.7586991042183,11.9690770783764
4810.95997068624,19.2789072681926,8.47865192129199
8997.60063831588,20.3257979451837,9.10471322503271
16836.3565634802,21.766130344024,9.73129590830009
38766.8818648776,22.1524584873246,10.5653216009379
35312.2930177718,19.7989858763426,10.471986426428
249883.781231804,22.9811226296603,12.4287512136837
