k0,S,lnk0
0.4,1.9,-0.916290731874155
10.8,1.8,2.37954613413017
29.2,2.1,3.37416870927424
69.5,2.5,4.24132675257075
170.2,2.8,5.13697421613927
420.9,3.1,6.04239527577653
2449.4,7.7,7.80359837558719
16554,17.6,9.71438304344534
